;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Cliente392;Producto17;Producto2;Producto1;Producto18;Producto6;Producto5;Producto15;Producto16;Producto10;Producto8;Producto7;Producto14;Producto4;Producto12;Producto9;Producto11;Producto13;Producto20;Producto3
Cliente522;Producto1;Producto8;Producto14;Producto2;Producto7;Producto19;Producto11;Producto3;Producto10;Producto15;Producto17;Producto6;Producto13;Producto20;Producto9;Producto4;NA;NA;NA
Cliente389;Producto6;Producto14;Producto1;Producto17;Producto18;Producto12;Producto4;Producto2;Producto19;Producto10;Producto11;Producto15;Producto7;Producto16;Producto20;Producto5;Producto8;NA;NA
Cliente421;Producto4;Producto17;Producto9;Producto2;Producto18;Producto1;Producto14;Producto6;Producto11;Producto16;Producto8;Producto10;Producto19;Producto13;Producto5;Producto15;Producto3;Producto12;NA
Cliente393;Producto4;Producto12;Producto20;Producto19;Producto11;Producto6;Producto13;Producto14;Producto5;Producto9;Producto10;Producto17;Producto2;Producto16;Producto7;Producto8;Producto15;Producto3;NA
Cliente23;Producto4;Producto9;Producto17;Producto2;Producto15;Producto3;Producto18;Producto1;Producto8;Producto13;Producto12;Producto11;Producto10;Producto16;Producto5;Producto7;NA;NA;NA
Cliente475;Producto12;Producto15;Producto4;Producto8;Producto17;Producto14;Producto7;Producto18;Producto13;Producto10;Producto16;Producto5;NA;NA;NA;NA;NA;NA;NA
Cliente145;Producto11;Producto10;Producto2;Producto19;Producto6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente971;Producto2;Producto6;Producto4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente469;Producto18;Producto19;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente124;Producto10;Producto8;Producto14;Producto13;Producto6;Producto9;Producto17;Producto19;Producto18;Producto15;Producto11;Producto16;Producto2;Producto12;NA;NA;NA;NA;NA
Cliente284;Producto2;Producto1;Producto4;Producto9;Producto11;Producto19;Producto10;Producto14;Producto20;Producto3;Producto13;Producto7;Producto16;Producto18;Producto5;Producto15;Producto8;Producto12;NA
Cliente86;Producto18;Producto4;Producto14;Producto11;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente405;Producto11;Producto8;Producto19;Producto18;Producto1;Producto6;Producto14;Producto17;Producto13;Producto7;Producto20;Producto10;Producto16;NA;NA;NA;NA;NA;NA
Cliente641;Producto1;Producto12;Producto17;Producto2;Producto19;Producto9;Producto11;Producto16;Producto15;Producto5;Producto8;Producto10;Producto14;Producto3;Producto18;Producto7;Producto20;NA;NA
Cliente629;Producto19;Producto14;Producto11;Producto17;Producto18;Producto13;Producto15;Producto4;Producto1;Producto20;Producto9;Producto10;Producto3;Producto5;Producto7;Producto8;NA;NA;NA
Cliente97;Producto12;Producto13;Producto17;Producto7;Producto8;Producto2;Producto6;Producto16;Producto1;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente501;Producto10;Producto8;Producto17;Producto12;Producto11;Producto4;Producto9;Producto7;Producto15;Producto1;Producto20;NA;NA;NA;NA;NA;NA;NA;NA
Cliente602;Producto10;Producto12;Producto3;Producto6;Producto19;Producto16;Producto7;Producto15;Producto9;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente912;Producto6;Producto12;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente71;Producto14;Producto12;Producto19;Producto10;Producto13;Producto2;Producto9;Producto17;Producto11;Producto15;Producto8;Producto3;NA;NA;NA;NA;NA;NA;NA
Cliente437;Producto7;Producto1;Producto18;Producto9;Producto4;Producto10;Producto11;Producto16;Producto12;Producto17;Producto13;Producto3;Producto5;NA;NA;NA;NA;NA;NA
Cliente593;Producto7;Producto1;Producto15;Producto5;Producto16;Producto13;Producto4;Producto2;Producto3;Producto9;Producto11;Producto20;Producto6;Producto14;Producto17;NA;NA;NA;NA
Cliente481;Producto1;Producto18;Producto14;Producto12;Producto4;Producto11;Producto5;Producto6;Producto19;Producto8;Producto20;NA;NA;NA;NA;NA;NA;NA;NA
Cliente805;Producto4;Producto2;Producto17;Producto8;Producto18;Producto3;Producto1;Producto20;Producto9;Producto16;Producto19;NA;NA;NA;NA;NA;NA;NA;NA
Cliente9;Producto6;Producto12;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente719;Producto10;Producto16;Producto1;Producto15;Producto9;Producto7;Producto17;Producto4;Producto20;Producto12;Producto5;Producto8;Producto6;NA;NA;NA;NA;NA;NA
Cliente320;Producto10;Producto5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente69;Producto15;Producto20;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente293;Producto17;Producto1;Producto10;Producto8;Producto15;Producto19;Producto13;Producto6;Producto14;Producto11;Producto9;Producto7;Producto18;Producto3;Producto2;Producto12;Producto20;Producto16;NA
Cliente633;Producto17;Producto6;Producto1;Producto16;Producto12;Producto11;Producto9;Producto18;Producto3;Producto15;Producto4;Producto19;Producto7;Producto14;Producto5;Producto2;Producto8;Producto20;NA
Cliente106;Producto14;Producto4;Producto7;Producto13;Producto18;Producto20;Producto9;Producto12;Producto11;Producto15;Producto19;Producto1;Producto5;Producto8;Producto6;Producto10;NA;NA;NA
Cliente193;Producto19;Producto12;Producto1;Producto17;Producto11;Producto8;Producto6;Producto15;Producto13;Producto10;Producto18;Producto3;Producto2;Producto7;Producto4;Producto9;Producto14;Producto16;NA
Cliente791;Producto15;Producto17;Producto20;Producto11;Producto13;Producto18;Producto7;Producto5;Producto12;Producto1;Producto6;Producto9;Producto10;NA;NA;NA;NA;NA;NA
Cliente975;Producto9;Producto11;Producto10;Producto13;Producto12;Producto7;Producto6;Producto2;Producto19;Producto16;Producto14;Producto17;Producto3;Producto5;Producto1;NA;NA;NA;NA
Cliente133;Producto20;Producto6;Producto9;Producto11;Producto14;Producto19;Producto18;Producto1;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente296;Producto1;Producto13;Producto17;Producto2;Producto15;Producto3;Producto8;Producto20;Producto16;Producto4;Producto18;Producto11;Producto14;Producto5;Producto10;Producto9;Producto12;Producto7;NA
Cliente219;Producto8;Producto19;Producto18;Producto6;Producto11;Producto14;Producto12;Producto9;Producto4;Producto10;Producto17;Producto16;Producto2;Producto20;Producto3;Producto15;Producto13;Producto1;NA
Cliente844;Producto14;Producto7;Producto5;Producto12;Producto2;Producto4;Producto13;Producto3;Producto1;Producto9;Producto10;Producto17;Producto6;Producto20;NA;NA;NA;NA;NA
Cliente666;Producto12;Producto6;Producto4;Producto7;Producto17;Producto13;Producto10;Producto11;Producto5;Producto15;Producto18;NA;NA;NA;NA;NA;NA;NA;NA
Cliente268;Producto19;Producto4;Producto13;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente123;Producto6;Producto10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente478;Producto4;Producto11;Producto17;Producto14;Producto3;Producto13;Producto10;Producto2;Producto20;Producto12;Producto6;NA;NA;NA;NA;NA;NA;NA;NA
Cliente915;Producto10;Producto1;Producto4;Producto8;Producto19;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente326;Producto4;Producto17;Producto6;Producto10;Producto14;Producto5;Producto7;Producto1;Producto12;Producto15;Producto19;Producto11;NA;NA;NA;NA;NA;NA;NA
Cliente755;Producto12;Producto3;Producto2;Producto19;Producto7;Producto16;Producto20;Producto18;Producto17;Producto8;Producto4;Producto13;Producto5;Producto10;NA;NA;NA;NA;NA
Cliente632;Producto6;Producto17;Producto19;Producto1;Producto8;Producto14;Producto15;Producto13;Producto2;Producto4;Producto9;Producto3;Producto11;Producto16;Producto12;Producto20;NA;NA;NA
Cliente37;Producto14;Producto5;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente811;Producto10;Producto19;Producto4;Producto2;Producto11;Producto20;Producto16;Producto6;Producto18;Producto8;Producto7;Producto15;Producto3;NA;NA;NA;NA;NA;NA
Cliente304;Producto18;Producto13;Producto3;Producto9;Producto10;Producto11;Producto17;Producto14;Producto20;Producto6;Producto1;Producto4;Producto19;Producto5;Producto8;NA;NA;NA;NA
Cliente764;Producto4;Producto12;Producto11;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente298;Producto11;Producto15;Producto14;Producto4;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente47;Producto3;Producto12;Producto17;Producto2;Producto10;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente491;Producto13;Producto9;Producto10;Producto5;Producto15;Producto17;Producto19;Producto6;Producto1;Producto20;Producto16;Producto2;Producto12;Producto14;Producto7;Producto18;NA;NA;NA
Cliente170;Producto17;Producto2;Producto7;Producto8;Producto11;Producto14;Producto4;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente359;Producto1;Producto11;Producto13;Producto10;Producto15;Producto4;Producto20;Producto18;Producto17;Producto6;Producto3;Producto7;Producto5;NA;NA;NA;NA;NA;NA
Cliente634;Producto4;Producto9;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente927;Producto12;Producto5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente502;Producto14;Producto13;Producto20;Producto12;Producto17;Producto8;Producto15;Producto1;Producto5;Producto3;Producto19;NA;NA;NA;NA;NA;NA;NA;NA
Cliente197;Producto2;Producto6;Producto9;Producto15;Producto1;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente164;Producto4;Producto13;Producto16;Producto9;Producto11;Producto2;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente567;Producto11;Producto1;Producto6;Producto10;Producto4;Producto7;Producto3;Producto14;Producto19;Producto2;Producto17;Producto13;Producto15;Producto8;Producto12;NA;NA;NA;NA
Cliente759;Producto11;Producto6;Producto14;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente322;Producto2;Producto12;Producto13;Producto17;Producto4;Producto5;Producto20;Producto14;Producto16;Producto3;Producto19;Producto9;Producto7;Producto15;NA;NA;NA;NA;NA
Cliente384;Producto4;Producto18;Producto2;Producto19;Producto11;Producto17;Producto5;Producto14;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente358;Producto2;Producto6;Producto20;Producto17;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente801;Producto14;Producto3;Producto4;Producto1;Producto6;Producto13;Producto7;Producto11;Producto17;Producto12;Producto20;Producto5;Producto9;Producto15;Producto19;Producto16;Producto8;Producto2;NA
Cliente763;Producto6;Producto15;Producto10;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente871;Producto2;Producto10;Producto8;Producto13;Producto12;Producto3;Producto19;Producto6;Producto9;Producto14;Producto15;Producto11;Producto17;NA;NA;NA;NA;NA;NA
Cliente342;Producto12;Producto11;Producto17;Producto19;Producto1;Producto13;Producto16;Producto20;Producto2;Producto7;Producto18;Producto10;Producto8;Producto4;NA;NA;NA;NA;NA
Cliente606;Producto1;Producto17;Producto9;Producto18;Producto19;Producto7;Producto20;Producto14;Producto4;Producto11;Producto12;Producto8;Producto5;Producto10;Producto2;Producto3;Producto16;Producto15;Producto13
Cliente660;Producto14;Producto4;Producto11;Producto8;Producto20;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente751;Producto18;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente307;Producto8;Producto19;Producto1;Producto17;Producto6;Producto15;Producto4;Producto3;Producto10;Producto11;Producto12;Producto18;Producto14;Producto2;Producto20;Producto9;Producto13;Producto7;Producto16
Cliente463;Producto14;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente853;Producto17;Producto2;Producto8;Producto12;Producto14;Producto15;Producto18;Producto13;Producto4;Producto16;Producto7;Producto20;Producto6;NA;NA;NA;NA;NA;NA
Cliente862;Producto3;Producto10;Producto1;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente687;Producto17;Producto18;Producto12;Producto1;Producto2;Producto7;Producto15;Producto19;Producto14;Producto6;Producto4;Producto13;Producto9;Producto5;Producto8;Producto20;Producto3;Producto10;NA
Cliente723;Producto18;Producto10;Producto15;Producto4;Producto17;Producto7;Producto3;Producto1;Producto19;Producto12;Producto8;Producto14;Producto2;Producto9;Producto11;NA;NA;NA;NA
Cliente239;Producto11;Producto17;Producto7;Producto14;Producto4;Producto18;Producto6;Producto10;Producto19;Producto12;Producto3;Producto5;Producto13;Producto9;Producto15;Producto8;NA;NA;NA
Cliente757;Producto2;Producto1;Producto12;Producto9;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente516;Producto2;Producto4;Producto1;Producto10;Producto3;Producto15;Producto7;Producto18;Producto19;Producto12;Producto5;Producto11;Producto8;Producto16;Producto14;Producto9;Producto6;NA;NA
Cliente921;Producto9;Producto1;Producto14;Producto13;Producto15;Producto20;Producto11;Producto10;Producto2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente460;Producto3;Producto16;Producto7;Producto18;Producto12;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente913;Producto3;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente167;Producto13;Producto3;Producto14;Producto12;Producto15;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente465;Producto17;Producto18;Producto9;Producto13;Producto7;Producto19;Producto4;Producto14;Producto8;Producto3;Producto1;Producto12;NA;NA;NA;NA;NA;NA;NA
Cliente784;Producto2;Producto6;Producto20;Producto17;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente278;Producto3;Producto19;Producto1;Producto20;Producto16;Producto4;Producto13;Producto17;Producto2;Producto6;Producto15;Producto10;NA;NA;NA;NA;NA;NA;NA
Cliente832;Producto7;Producto14;Producto20;Producto17;Producto8;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente452;Producto6;Producto15;Producto12;Producto10;Producto8;Producto18;Producto16;Producto3;Producto1;Producto4;Producto5;Producto14;NA;NA;NA;NA;NA;NA;NA
Cliente495;Producto16;Producto14;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente794;Producto10;Producto8;Producto16;Producto2;Producto20;Producto12;Producto13;Producto3;Producto17;Producto18;Producto7;Producto1;Producto19;Producto15;Producto6;Producto9;NA;NA;NA
Cliente418;Producto18;Producto19;Producto13;Producto14;Producto15;Producto1;Producto6;Producto5;Producto3;Producto12;Producto17;Producto9;Producto4;Producto16;Producto7;Producto10;NA;NA;NA
Cliente661;Producto6;Producto20;Producto17;Producto11;Producto1;Producto12;Producto5;Producto16;Producto8;Producto19;Producto10;Producto3;NA;NA;NA;NA;NA;NA;NA
Cliente252;Producto4;Producto2;Producto18;Producto13;Producto16;Producto7;Producto6;Producto12;Producto5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente881;Producto12;Producto17;Producto19;Producto9;Producto11;Producto2;Producto7;Producto14;Producto20;Producto18;Producto15;NA;NA;NA;NA;NA;NA;NA;NA
Cliente132;Producto6;Producto9;Producto10;Producto16;Producto17;Producto4;Producto19;Producto1;Producto20;Producto2;Producto11;NA;NA;NA;NA;NA;NA;NA;NA
Cliente158;Producto17;Producto19;Producto10;Producto9;Producto13;Producto11;Producto20;Producto16;Producto5;Producto1;Producto4;Producto7;Producto12;Producto15;Producto3;Producto14;NA;NA;NA
Cliente863;Producto6;Producto10;Producto17;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente788;Producto2;Producto17;Producto18;Producto15;Producto16;Producto5;Producto10;Producto12;Producto1;Producto4;Producto9;Producto19;NA;NA;NA;NA;NA;NA;NA
Cliente378;Producto10;Producto2;Producto4;Producto15;Producto13;Producto1;Producto20;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente454;Producto4;Producto17;Producto5;Producto18;Producto1;Producto12;Producto15;Producto13;Producto16;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente840;Producto4;Producto6;Producto11;Producto18;Producto19;Producto17;Producto12;Producto2;Producto5;Producto20;Producto9;Producto10;Producto8;Producto13;Producto14;Producto3;Producto16;Producto15;Producto7
Cliente555;Producto10;Producto7;Producto18;Producto1;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente848;Producto4;Producto9;Producto11;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente150;Producto17;Producto13;Producto7;Producto4;Producto1;Producto2;Producto5;Producto8;Producto3;Producto19;Producto12;Producto14;Producto10;Producto20;Producto15;Producto18;Producto16;NA;NA
Cliente159;Producto19;Producto4;Producto9;Producto11;Producto12;Producto16;Producto3;Producto18;Producto10;Producto2;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente232;Producto11;Producto12;Producto2;Producto10;Producto18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente50;Producto12;Producto11;Producto2;Producto6;Producto5;Producto16;Producto7;Producto17;Producto3;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente749;Producto14;Producto1;Producto6;Producto11;Producto2;Producto19;Producto15;Producto9;Producto20;Producto7;Producto10;Producto3;NA;NA;NA;NA;NA;NA;NA
Cliente187;Producto1;Producto16;Producto12;Producto18;Producto15;Producto3;Producto14;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente402;Producto6;Producto12;Producto1;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente451;Producto15;Producto20;Producto16;Producto14;Producto12;Producto18;Producto13;Producto11;Producto10;Producto6;Producto9;Producto19;NA;NA;NA;NA;NA;NA;NA
Cliente286;Producto17;Producto4;Producto7;Producto8;Producto16;Producto1;Producto15;Producto5;Producto13;Producto12;Producto20;Producto3;Producto14;Producto10;Producto6;Producto9;Producto19;NA;NA
Cliente420;Producto6;Producto2;Producto5;Producto13;Producto10;Producto3;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente398;Producto18;Producto6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente236;Producto13;Producto18;Producto19;Producto2;Producto3;Producto5;Producto10;Producto12;Producto7;Producto16;Producto15;Producto14;NA;NA;NA;NA;NA;NA;NA
Cliente583;Producto6;Producto2;Producto1;Producto13;Producto17;Producto11;Producto14;Producto18;Producto10;Producto19;Producto20;Producto12;Producto7;Producto3;Producto4;Producto5;Producto8;Producto15;Producto16
Cliente715;Producto13;Producto6;Producto7;Producto12;Producto4;Producto11;Producto10;Producto19;Producto3;Producto20;Producto17;Producto2;Producto14;Producto16;Producto5;NA;NA;NA;NA
Cliente92;Producto2;Producto19;Producto1;Producto11;Producto16;Producto14;Producto18;Producto6;Producto5;Producto13;Producto20;Producto9;NA;NA;NA;NA;NA;NA;NA
Cliente736;Producto17;Producto4;Producto10;Producto13;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente527;Producto9;Producto15;Producto14;Producto10;Producto4;Producto6;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente24;Producto18;Producto13;Producto11;Producto15;Producto3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente941;Producto1;Producto5;Producto14;Producto8;Producto10;Producto7;Producto3;Producto2;Producto9;Producto12;Producto17;Producto19;Producto15;Producto18;Producto16;Producto4;NA;NA;NA
Cliente35;Producto13;Producto10;Producto19;Producto2;Producto6;Producto4;Producto5;Producto8;Producto11;Producto16;Producto18;Producto20;Producto7;Producto9;Producto15;Producto3;NA;NA;NA
Cliente366;Producto17;Producto13;Producto1;Producto3;Producto16;Producto19;Producto9;Producto6;Producto10;Producto11;Producto8;Producto12;Producto7;Producto20;NA;NA;NA;NA;NA
Cliente926;Producto14;Producto11;Producto16;Producto2;Producto5;Producto15;Producto4;Producto6;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente270;Producto18;Producto7;Producto13;Producto6;Producto11;Producto1;Producto10;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente431;Producto8;Producto14;Producto10;Producto2;Producto19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente327;Producto13;Producto6;Producto16;Producto18;Producto1;Producto20;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente496;Producto15;Producto3;Producto20;Producto13;Producto2;Producto16;Producto14;Producto9;Producto1;Producto4;Producto8;Producto7;Producto10;Producto11;Producto19;Producto17;Producto5;NA;NA
Cliente471;Producto19;Producto4;Producto5;Producto14;Producto18;Producto6;Producto7;Producto3;Producto2;Producto16;Producto11;Producto13;Producto1;Producto20;Producto8;Producto17;Producto9;Producto10;Producto12
Cliente571;Producto6;Producto13;Producto2;Producto14;Producto4;Producto20;Producto3;Producto17;Producto8;Producto19;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente690;Producto18;Producto6;Producto2;Producto15;Producto13;Producto9;Producto20;Producto19;Producto10;Producto12;Producto16;Producto3;Producto5;Producto8;NA;NA;NA;NA;NA
Cliente272;Producto6;Producto9;Producto17;Producto1;Producto15;Producto20;Producto7;Producto5;Producto2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente83;Producto4;Producto18;Producto12;Producto3;Producto6;Producto17;Producto20;Producto9;Producto19;Producto2;Producto16;Producto15;Producto14;Producto10;Producto8;Producto5;Producto7;NA;NA
Cliente692;Producto1;Producto2;Producto10;Producto8;Producto11;Producto18;Producto14;Producto6;Producto19;Producto17;Producto12;Producto20;Producto13;Producto4;Producto5;Producto15;Producto9;Producto3;NA
Cliente536;Producto11;Producto4;Producto5;Producto3;Producto12;Producto6;Producto14;Producto19;Producto18;Producto9;Producto2;Producto20;Producto16;Producto13;Producto8;Producto7;Producto10;Producto17;NA
Cliente996;Producto4;Producto12;Producto15;Producto10;Producto11;Producto9;Producto14;Producto1;Producto18;Producto7;Producto16;NA;NA;NA;NA;NA;NA;NA;NA
Cliente58;Producto18;Producto6;Producto11;Producto20;Producto10;Producto13;Producto3;Producto14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente581;Producto13;Producto15;Producto6;Producto14;Producto17;Producto11;Producto16;Producto3;Producto1;Producto9;Producto2;NA;NA;NA;NA;NA;NA;NA;NA
Cliente745;Producto4;Producto11;Producto9;Producto12;Producto2;Producto19;Producto3;Producto10;Producto7;Producto20;Producto16;Producto15;Producto5;Producto14;NA;NA;NA;NA;NA
Cliente528;Producto16;Producto19;Producto13;Producto6;Producto5;Producto8;Producto1;Producto17;Producto3;Producto14;Producto4;Producto9;Producto18;Producto20;NA;NA;NA;NA;NA
Cliente670;Producto4;Producto11;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente46;Producto14;Producto1;Producto4;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente281;Producto10;Producto12;Producto17;Producto19;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente656;Producto17;Producto1;Producto8;Producto6;Producto11;Producto12;Producto15;Producto13;Producto7;Producto5;Producto18;Producto9;Producto10;Producto4;Producto20;Producto14;Producto3;Producto16;NA
Cliente564;Producto13;Producto4;Producto6;Producto11;Producto5;Producto2;Producto10;Producto14;Producto18;Producto9;Producto16;Producto12;Producto15;Producto19;Producto20;Producto7;Producto8;Producto1;NA
Cliente105;Producto13;Producto6;Producto10;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente947;Producto10;Producto4;Producto11;Producto6;Producto18;Producto14;Producto17;Producto3;Producto20;Producto12;Producto16;Producto2;NA;NA;NA;NA;NA;NA;NA
Cliente310;Producto17;Producto4;Producto7;Producto8;Producto16;Producto1;Producto15;Producto5;Producto13;Producto12;Producto20;Producto3;Producto14;Producto10;Producto6;Producto9;Producto19;NA;NA
Cliente740;Producto10;Producto11;Producto18;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente444;Producto11;Producto12;Producto15;Producto7;Producto14;Producto17;Producto6;Producto4;Producto1;Producto10;Producto20;Producto2;NA;NA;NA;NA;NA;NA;NA
Cliente919;Producto4;Producto18;Producto6;Producto12;Producto7;Producto2;Producto15;Producto10;Producto3;Producto11;Producto5;Producto13;NA;NA;NA;NA;NA;NA;NA
Cliente891;Producto19;Producto14;Producto6;Producto7;Producto10;Producto17;Producto1;Producto8;Producto11;Producto18;Producto2;Producto15;Producto12;Producto13;Producto9;Producto5;Producto20;Producto4;Producto3
Cliente455;Producto16;Producto13;Producto2;Producto3;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente416;Producto6;Producto20;Producto4;Producto11;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente111;Producto4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente115;Producto18;Producto15;Producto16;Producto20;Producto7;Producto14;Producto6;Producto9;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente804;Producto2;Producto16;Producto12;Producto18;Producto8;Producto11;Producto9;Producto13;Producto10;Producto19;Producto17;Producto5;NA;NA;NA;NA;NA;NA;NA
Cliente506;Producto1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente300;Producto6;Producto4;Producto19;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente668;Producto17;Producto11;Producto9;Producto13;Producto6;Producto15;Producto7;Producto1;Producto5;Producto19;Producto14;Producto3;Producto12;Producto20;Producto16;Producto10;Producto8;NA;NA
Cliente368;Producto1;Producto11;Producto2;Producto18;Producto13;Producto16;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
